album_id,artist_id,album_name,album_popularity,releaste_date
7M2iH4Eblu1U0nBOixEtgS,5FE0B5zV9y7T5OzkiDkBG8,Composure,40,2019-04-20
5r2DXctw7tesulNndBGCjK,5FE0B5zV9y7T5OzkiDkBG8,Heartbreak Disco,33,2019-02-01
1nPY5ikapVDLUdGp0OtDnG,5FE0B5zV9y7T5OzkiDkBG8,Ha! Fiction,26,2018-12-01
5q6y0RJQKlYPOD7L1T1VaI,5FE0B5zV9y7T5OzkiDkBG8,Always,11,2018-11-15
6M4dbU5f6Yno7lY9cC4zTe,5FE0B5zV9y7T5OzkiDkBG8,The Sneeze,30,2018-11-01
6PVI13pAi6WhOv8vGyQ5P1,5FE0B5zV9y7T5OzkiDkBG8,Cigarettes & My Beautiful Wife,13,2018-10-15
5urEQOHkv0p4v4Zkm0qbPz,5FE0B5zV9y7T5OzkiDkBG8,Future Protocol,31,2018-10-01
1Vd72lGnvzvcN5I1MCeSR2,5FE0B5zV9y7T5OzkiDkBG8,Beast of Burden,0,2018-09-15
1S7CfzPIJfe2xfhZtARz5t,5FE0B5zV9y7T5OzkiDkBG8,Beast of Burden,39,2017-06-12
6OHWVGUdHtPl6r8pmf3T6L,5FE0B5zV9y7T5OzkiDkBG8,Paradise,13,2017-03-27
6yEI7qSofqtYg04ub5KtHJ,7EiaXz6xsGmIoPSviGIHel,Planetary (Aylen Remix),1,2017-02-24
2MGSxK8ceTQgLgMZ18KaZl,5dllmwFsq4JlN1YK0f41Sm,Planetary,25,2017-01-27
34ir3zlhfLzKq2kO54Gall,5ffMSKGQRhetAjBjEgkRun,Lucky Boy At Night,39,2007
6y9pvPSEODDJO8YCe78c4c,5ffMSKGQRhetAjBjEgkRun,Lucky Boy,25,2006-10-30
7IXyWJ8u6nyz80mumzf67e,5ffMSKGQRhetAjBjEgkRun,The Story of Espion,16,2002-05-28
5HxvwGDNrMYpW4CEGRhER2,0Kt5snrp3j13r4wV8lorZ3,Pocket Piano (Orchestral Version),6,2018-10-19
5dMTP9ZttPAmkLpgYR18Ax,5ffMSKGQRhetAjBjEgkRun,Pocket Piano,32,2008-12-08
4nPSFdPtaZwp7oyy5bTumn,5ffMSKGQRhetAjBjEgkRun,Lucky Girl,33,2007-03-05
5TLy7zI9d8cjRXhVaXG7ia,5ffMSKGQRhetAjBjEgkRun,breakaway,9,2003-02-28
1JIZMhK9WYn5t2CGKCenaJ,5ffMSKGQRhetAjBjEgkRun,Red Black & Blue,16,2009-11-09
1mftFRso6xy5OhljFQNng4,5ffMSKGQRhetAjBjEgkRun,I Am Somebody,3,2006-05-22
4k3s0Gk8WdGCCMkNVnZgkE,0Kt5snrp3j13r4wV8lorZ3,Ed Banger 15,39,2018-11-23
5OrGeduMTgaz0INetPdKuX,1qBSTVOOFSTKWn3TQUtWqw,Cut Killer Freestyle, Vol. 1 (La première k7 Freestyle de rap francais),14,2012-12-30
5r2X3lvhvDZgaWagYtRVni,78YRbJhMi5kXKruiQGCJo7,My Contribution to the Global Warming - Remixes 1995-2005,16,2012
2Fc4WClsGYp7gLEvPyJiFW,4sf3QZW8a3xZ14IGsOAzoy,I Love Techno 2011,35,2011-10-31
7Dhx3vMHY23gSUFfiSCFqQ,0LyfQWJT6nXafLPZqxe9Of,Let The Children Techno (Compiled and Mixed by Busy P & DJ Mehdi),35,2011-02-21
2RcIaONVxAG0MYDlKmvXIp,1zUARwQOZCs4MEzDt65eG6,Fantasy Special Edition,9,2011-01-23
3aRSqQbJ68amZ9G4jEm8wT,0LyfQWJT6nXafLPZqxe9Of,Tigersushi B-sides,1,2010-12-05
4Spi7kXtkewTWdlFyiTTke,1zUARwQOZCs4MEzDt65eG6,Cristal d'acier,2,2010-05-24
0KS11jO9yXCb8QV9faRokr,3Y10boYzeuFCJ4Qgp53w6o,Any Which Way,4,2010-01-01
3AmCcn2fRJYQirXBC0kiU5,0LyfQWJT6nXafLPZqxe9Of,Versatile Family Album,5,2009-06-23
06ouh4WbMgwgk5dbsiH8oV,0LyfQWJT6nXafLPZqxe9Of,ED REC Vol.3,20,2008-06-02
5zQaIGXumQqzWXDmT9WLYr,5fj4oi7qHDoklvnnYmSBl0,downpour,25,2019-12-02
5vx5JZk2cMhlDRtjAI731w,5fj4oi7qHDoklvnnYmSBl0,i need you,39,2019-10-01
7l7ZCII1vJJFHnV1lD0fh4,5fj4oi7qHDoklvnnYmSBl0,pretty sad,34,2019-08-09
1gKsw51ZQ26NJmggaOzLCo,5fj4oi7qHDoklvnnYmSBl0,stick n pokes,30,2019-07-04
413xg0teRCtfcTqHDPmNb9,5fj4oi7qHDoklvnnYmSBl0,you're my everything,35,2019-06-05
