artist_id,artist_name,artist_genre,artist_followers,artist_popularity
08avsqaGIlK2x3i2Cu7rKH,Keith Richards,`blues` `blues rock` `british blues` `classic rock` `electric blues` `roots rock` ,150408,47
08ewVs9B2qQZ2Gy3xfTFyo,Giovanni Battista Pergolesi,`baroque` `classical` `early music` `galante era` `italian baroque` ,49341,48
08F3Y3SctIlsOEmKd6dnH8,Yusuf / Cat Stevens,`british folk` `classic rock` `folk` `folk rock` `mellow gold` `rock` `roots rock` `singer-songwriter` `soft rock` ,888885,74
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,`album rock` `classic rock` `mellow gold` `rock` `soft rock` `yacht rock` ,3880712,83
08Ld63UgKrJ0nZnCkzHtzc,Project Pat,`crunk` `dirty south rap` `gangster rap` `memphis hip hop` `pop rap` `rap` `southern hip hop` `trap` ,333237,64
08Oq1FA0dW8cSELm0GZyMF,Zimmerman,`belgian indie` ,2381,25
08v1r0jqDyvSo2LtSqHxcy,Reo Cragun,`trap soul` `underground hip hop` ,49628,63
099toTcKJoywTosZr2hHjy,Langhorne Slim,`anti-folk` `chamber pop` `deep new americana` `folk-pop` `funk` `indie folk` `indie pop` `new americana` `roots rock` `stomp and holler` ,113855,62
09hNSPPOxDop4FRdr6UEnq,Dokken,`album rock` `glam metal` `hard rock` `metal` `rock` ,317574,56
09Z3wZ88af1pfyJxziESQF,Nick Wilson,`indie anthem-folk` `indie cafe pop` ,16131,59
0A0FS04o6zMoto8OKPsDwY,YG,`cali rap` `hip hop` `pop rap` `rap` `southern hip hop` `trap` ,1955920,86
0a1gHP0HAqALbEyxaD5Ngn,Rascal Flatts,`contemporary country` `country` `country road` ,2113548,75
0a63dfrxBQKqh160P8iUNL,Country Joe & The Fish,`blues rock` `classic garage rock` `classic rock` `folk rock` `freakbeat` `psychedelic rock` ,76713,39
0A7g2YbCA9FlyZvAG6VmKP,The Lox,`east coast hip hop` `gangster rap` `hardcore hip hop` `hip hop` `hip pop` `rap` `southern hip hop` ,225869,57
0AD4odMWVQ2wUSlgxOB5Rl,Jeff Beck,`album rock` `art rock` `blues` `blues rock` `british blues` `classic rock` `electric blues` `hard rock` `instrumental rock` `jazz fusion` `modern blues` `psychedelic rock` `rock` `symphonic rock` ,373194,57
0augulkuXFx1qPfb590w2C,Roy Buchanan,`blues` `blues rock` `classic rock` `electric blues` `modern blues` ,78812,44
0B1prtAE9Ca9hTs0rUkjHG,MellowHigh,`underground hip hop` ,47778,34
0B3N0ZINFWvizfa8bKiz4v,James TW,`australian pop` `neo mellow` `pop` `pop rock` `uk pop` `viral pop` ,429741,78
0bByarMN8ryEFQsRo6iCUN,Glenn Medeiros,`soft rock` ,41033,54
0bdfiayQAKewqEvaU6rXCv,MØ,`dance pop` `danish pop` `electropop` `indie pop` `pop` `tropical house` ,1172949,77
0bdJZl7TDeiymDYzMJnVh2,Preme,`canadian hip hop` `pop rap` `rap` `southern hip hop` `toronto rap` `trap` `trap soul` ,95345,70
0bfX8pF8kuHNCs57Ms4jZb,Roscoe Dash,`atl hip hop` `pop rap` `southern hip hop` `trap` ,148972,64
0BLh5cn4nqfqoVUREx3hLj,Golden Smog,`alternative country` `country rock` `jangle pop` `power pop` `roots rock` `singer-songwriter` ,13218,36
0BqOXpkslA5Kxud9UXi2yG,Het Zesde Metaal,`belgian rock` `classic belgian pop` ,14547,47
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,`contemporary country` `country` `country road` ,4671724,80
0bZ9jANLkwEFVcSnHnwrpb,UnoTheActivist,`melodic rap` `trap` `underground hip hop` `vapor trap` ,121843,60
0c08N8UlFjDaup9TNDaWxy,Sonny James,`deep adult standards` `nashville sound` ,20023,38
0c173mlxpT3dSFRgMO8XPh,Big Sean,`detroit hip hop` `hip hop` `pop rap` `rap` `southern hip hop` `trap` ,6778884,86
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,`dance pop` `pop` `post-teen pop` ,17918655,92
0cA5Tg15TwARIRZeiNT1RO,Dan Fogelberg,`adult standards` `album rock` `country rock` `folk` `folk rock` `mellow gold` `singer-songwriter` `soft rock` `yacht rock` ,302423,58
0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,`glam metal` `hard rock` `metal` `rock` `sleaze rock` ,2218128,76
0Cd6nHYwecCNM1sVEXKlYr,Krewella,`big room` `brostep` `catstep` `dance pop` `edm` `electra` `electro house` ,769151,68
0CDUUM6KNRvgBFYIbWxJwV,Dawes,`deep new americana` `folk-pop` `funk` `indie folk` `indie pop` `indie rock` `new americana` `pop rock` `roots rock` `stomp and holler` ,176245,61
0ceH34CATvfgphxnLRWFkm,9lokknine,`florida rap` `vapor trap` ,36598,79
0CKa42Jqrc9fSFbDjePaXP,Big K.R.I.T.,`alternative hip hop` `conscious hip hop` `dirty south rap` `gangster rap` `hip hop` `pop rap` `rap` `southern hip hop` `trap` `underground hip hop` ,530212,67
0cmBbO2sr4w0rRGt3rKvs6,Mad Caddies,`modern ska punk` `punk` `ska` `ska punk` `skate punk` ,87585,52
0CoiIc6ZLBvF9Cjmb1Cj49,Shearwater,`austindie` `chamber pop` `freak folk` `melancholia` `slow core` `stomp and holler` ,29867,38
0cQuYRSzlItquYxsQKDvVc,The Guess Who,`album rock` `art rock` `blues rock` `bubblegum pop` `classic canadian rock` `classic rock` `country rock` `folk rock` `hard rock` `heartland rock` `mellow gold` `psychedelic rock` `rock` `roots rock` `singer-songwriter` `soft rock` ,277482,63
0Cu32uCaqDJYQADOev92Et,Lud Foe,`chicago rap` `detroit trap` `southern hip hop` `trap` `vapor trap` ,283062,61
0D9N9NxMbXKjmoRI1JVdz8,Ocean Wisdom,`grime` `uk alternative hip hop` `uk hip hop` ,90784,64
0daugAjUgbJSqdlyYNwIbT,Vicetone,`big room` `catstep` `deep big room` `deep dubstep` `edm` `electro house` `pop edm` `progressive electro house` `tropical house` ,283003,70
0db28KdTi7VNaTipfAnlWQ,Catherine McGrath,`british country` `contemporary country` `country pop` ,24101,43
0DchahWJGQqrqr8PMM5zQD,Johnny Paycheck,`country` `country rock` `outlaw country` ,157454,55
0DdDnziut7wOo6cAYWVZC5,KREAM,`big room` `dance pop` `deep tropical house` `edm` `electro house` `house` `pop` `pop edm` `tropical house` ,78506,67
0dgnITyIAN4NrmUVisvxHU,Tesla,`album rock` `glam metal` `hard rock` `metal` `post-grunge` `rock` `sacramento indie` ,461024,58
0dlwjJe4kg9TgOMN184bJF,Mark Wills,`contemporary country` `country` `country road` ,170586,54
0dLWSYE7my9AbpQYNJ0ABV,Oscar and the Wolf,`belgian pop` ,216243,60
0DtXHIvJ8NWBg5pGvsgWnR,Leikeli47,`alternative r&b` `electropop` `escape room` `hip pop` `pop` `pop rap` `trap queen` ,114272,60
0dvKgSdNB2U1gfp6ZcekYi,Frankie Ballard,`contemporary country` `country` `country road` `modern country rock` ,262154,60
0DW7boyjvbaSP3OJ72sXgC,Al Stewart,`album rock` `art rock` `classic rock` `classic uk pop` `folk` `folk rock` `mellow gold` `progressive rock` `singer-songwriter` `soft rock` `symphonic rock` ,118674,56
0E3pLs4jXz9tDQGY8m1A1d,JayDaYoungan,`melodic rap` `southern hip hop` `trap` ,340671,73
0e9H8oaYYRCKFXOVv848nt,Bad Books,`dreamo` `stomp and holler` ,43907,48
0ecbvwhuhiEAWOLHlRXpqD,STEELHEART,`glam metal` `hard rock` `sleaze rock` ,143492,49
0ECwFtbIWEVNwjlrfc6xoL,Eagles,`album rock` `classic rock` `folk rock` `heartland rock` `mellow gold` `rock` `singer-songwriter` `soft rock` `yacht rock` ,4033448,79
0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle,`conscious hip hop` `gangster rap` `hip hop` `pop rap` `rap` `southern hip hop` `trap` ,1170338,78
0EgUow5z0SXVA9lunNSB1q,Verse Simmonds,`deep pop r&b` `trap soul` ,141059,53
0ekbDNE2eOq8QiaXM34wer,Howie Day,`acoustic pop` `neo mellow` `pop rock` ,217204,62
0Ekfvspc0hlcxdfJJVjcnq,Guy Clark,`alternative country` `country rock` `folk` `folk rock` `new americana` `outlaw country` `roots rock` `singer-songwriter` `texas country` `traditional folk` ,64239,52
0epOFNiUfyON9EYx7Tpr6V,The Strokes,`alternative rock` `garage rock` `indie rock` `modern rock` `permanent wave` `rock` ,2937278,78
